,Comercializadora,Tarifa,Precio_Potencia_P1,Precio_Potencia_P2,Precio_Potencia_P3,Precio_Potencia_P4,Precio_Potencia_P5,Precio_Potencia_P6,Precio_Energía_P1,Precio_Energía_P2,Precio_Energía_P3,Precio_Energía_P4,Precio_Energía_P5,Precio_Energía_P6,Fecha_Inicio,Fecha_Finalización
59,Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.12555484304319478,0.12555484304319478,0.12555484304319478,0.12555484304319478,0.12555484304319478,0.12555484304319478,2020-01-01,2020-01-31
60,Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.11703886120926843,0.11703886120926843,0.11703886120926843,0.11703886120926843,0.11703886120926843,0.11703886120926843,2020-01-02,2020-02-28
61,Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.10846735879686199,0.10846735879686199,0.10846735879686199,0.10846735879686199,0.10846735879686199,0.10846735879686199,2020-01-03,2020-03-31
62,Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.09683546242836613,0.09683546242836613,0.09683546242836613,0.09683546242836613,0.09683546242836613,0.09683546242836613,2020-01-04,2020-04-30
63,Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.09848168416223951,0.09848168416223951,0.09848168416223951,0.09848168416223951,0.09848168416223951,0.09848168416223951,2020-01-05,2020-05-31
64,Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.10731538081751832,0.10731538081751832,0.10731538081751832,0.10731538081751832,0.10731538081751832,0.10731538081751832,2020-01-06,2020-06-30
65,Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.11427436745708154,0.11427436745708154,0.11427436745708154,0.11427436745708154,0.11427436745708154,0.11427436745708154,2020-01-07,2020-07-31
66,Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.1174859422311982,0.1174859422311982,0.1174859422311982,0.1174859422311982,0.1174859422311982,0.1174859422311982,2020-01-08,2020-08-31
67,Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.1245421291924862,0.1245421291924862,0.1245421291924862,0.1245421291924862,0.1245421291924862,0.1245421291924862,2020-01-09,2020-09-30
68,Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.11840047004136306,0.11840047004136306,0.11840047004136306,0.11840047004136306,0.11840047004136306,0.11840047004136306,2020-01-10,2020-10-31
69,Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.12859903705293946,0.12859903705293946,0.12859903705293946,0.12859903705293946,0.12859903705293946,0.12859903705293946,2020-01-11,2020-11-30
70,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12913282459024236,0.12913282459024236,0.12913282459024236,0.12913282459024236,0.12913282459024236,0.12913282459024236,2018-01-01,2018-01-31
71,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.13373221745745564,0.13373221745745564,0.13373221745745564,0.13373221745745564,0.13373221745745564,0.13373221745745564,2018-01-02,2018-02-28
72,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.11816022438476201,0.11816022438476201,0.11816022438476201,0.11816022438476201,0.11816022438476201,0.11816022438476201,2018-01-03,2018-03-31
73,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12063427859099991,0.12063427859099991,0.12063427859099991,0.12063427859099991,0.12063427859099991,0.12063427859099991,2018-01-04,2018-04-30
74,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.13282882181205408,0.13282882181205408,0.13282882181205408,0.13282882181205408,0.13282882181205408,0.13282882181205408,2018-01-05,2018-05-31
75,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.13637630396194333,0.13637630396194333,0.13637630396194333,0.13637630396194333,0.13637630396194333,0.13637630396194333,2018-01-06,2018-06-30
76,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1390864324441006,0.1390864324441006,0.1390864324441006,0.1390864324441006,0.1390864324441006,0.1390864324441006,2018-01-07,2018-07-31
77,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.14581084566458555,0.14581084566458555,0.14581084566458555,0.14581084566458555,0.14581084566458555,0.14581084566458555,2018-01-08,2018-08-31
78,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.15271994861028346,0.15271994861028346,0.15271994861028346,0.15271994861028346,0.15271994861028346,0.15271994861028346,2018-01-09,2018-09-30
79,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.14460451690924578,0.14460451690924578,0.14460451690924578,0.14460451690924578,0.14460451690924578,0.14460451690924578,2018-01-10,2018-10-31
80,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.14234783202585843,0.14234783202585843,0.14234783202585843,0.14234783202585843,0.14234783202585843,0.14234783202585843,2018-01-11,2018-11-30
81,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.14344844872410598,0.14344844872410598,0.14344844872410598,0.14344844872410598,0.14344844872410598,0.14344844872410598,2018-01-12,2018-12-31
82,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.14300195033999347,0.14300195033999347,0.14300195033999347,0.14300195033999347,0.14300195033999347,0.14300195033999347,2019-01-01,2019-01-31
83,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.13336315290787337,0.13336315290787337,0.13336315290787337,0.13336315290787337,0.13336315290787337,0.13336315290787337,2019-01-02,2019-02-28
84,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12836753641485735,0.12836753641485735,0.12836753641485735,0.12836753641485735,0.12836753641485735,0.12836753641485735,2019-01-03,2019-03-31
85,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12939809287519566,0.12939809287519566,0.12939809287519566,0.12939809287519566,0.12939809287519566,0.12939809287519566,2019-01-04,2019-04-30
86,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1255241345148892,0.1255241345148892,0.1255241345148892,0.1255241345148892,0.1255241345148892,0.1255241345148892,2019-01-05,2019-05-31
87,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12309878662521144,0.12309878662521144,0.12309878662521144,0.12309878662521144,0.12309878662521144,0.12309878662521144,2019-01-06,2019-06-30
88,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12717178213679378,0.12717178213679378,0.12717178213679378,0.12717178213679378,0.12717178213679378,0.12717178213679378,2019-01-07,2019-07-31
89,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12054575673537973,0.12054575673537973,0.12054575673537973,0.12054575673537973,0.12054575673537973,0.12054575673537973,2019-01-08,2019-08-31
90,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.11633780117591642,0.11633780117591642,0.11633780117591642,0.11633780117591642,0.11633780117591642,0.11633780117591642,2019-01-09,2019-09-30
91,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12325090049774383,0.12325090049774383,0.12325090049774383,0.12325090049774383,0.12325090049774383,0.12325090049774383,2019-01-10,2019-10-31
92,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.11878319937606949,0.11878319937606949,0.11878319937606949,0.11878319937606949,0.11878319937606949,0.11878319937606949,2019-01-11,2019-11-30
93,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1102902608529546,0.1102902608529546,0.1102902608529546,0.1102902608529546,0.1102902608529546,0.1102902608529546,2019-01-12,2019-12-31
94,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1176675481340443,0.1176675481340443,0.1176675481340443,0.1176675481340443,0.1176675481340443,0.1176675481340443,2020-01-01,2020-01-31
95,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.11145711271212443,0.11145711271212443,0.11145711271212443,0.11145711271212443,0.11145711271212443,0.11145711271212443,2020-01-02,2020-02-28
96,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.10274710926931759,0.10274710926931759,0.10274710926931759,0.10274710926931759,0.10274710926931759,0.10274710926931759,2020-01-03,2020-03-31
97,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.09306006466094058,0.09306006466094058,0.09306006466094058,0.09306006466094058,0.09306006466094058,0.09306006466094058,2020-01-04,2020-04-30
98,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.09463082660893642,0.09463082660893642,0.09463082660893642,0.09463082660893642,0.09463082660893642,0.09463082660893642,2020-01-05,2020-05-31
99,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.10360197642905934,0.10360197642905934,0.10360197642905934,0.10360197642905934,0.10360197642905934,0.10360197642905934,2020-01-06,2020-06-30
100,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.10779435574696995,0.10779435574696995,0.10779435574696995,0.10779435574696995,0.10779435574696995,0.10779435574696995,2020-01-07,2020-07-31
101,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.11075728323438251,0.11075728323438251,0.11075728323438251,0.11075728323438251,0.11075728323438251,0.11075728323438251,2020-01-08,2020-08-31
102,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.11707476631646395,0.11707476631646395,0.11707476631646395,0.11707476631646395,0.11707476631646395,0.11707476631646395,2020-01-09,2020-09-30
103,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.11208965463301086,0.11208965463301086,0.11208965463301086,0.11208965463301086,0.11208965463301086,0.11208965463301086,2020-01-10,2020-10-31
104,Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12016941535181008,0.12016941535181008,0.12016941535181008,0.12016941535181008,0.12016941535181008,0.12016941535181008,2020-01-11,2020-11-30
105,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.15144706348217388,0.15144706348217388,0.15144706348217388,0.15144706348217388,0.15144706348217388,0.15144706348217388,2018-01-01,2018-01-31
106,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.15333910109156118,0.15333910109156118,0.15333910109156118,0.15333910109156118,0.15333910109156118,0.15333910109156118,2018-01-02,2018-02-28
107,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1374241439355639,0.1374241439355639,0.1374241439355639,0.1374241439355639,0.1374241439355639,0.1374241439355639,2018-01-03,2018-03-31
108,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.13776658488566512,0.13776658488566512,0.13776658488566512,0.13776658488566512,0.13776658488566512,0.13776658488566512,2018-01-04,2018-04-30
109,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.14954574893994463,0.14954574893994463,0.14954574893994463,0.14954574893994463,0.14954574893994463,0.14954574893994463,2018-01-05,2018-05-31
110,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.15452884082710086,0.15452884082710086,0.15452884082710086,0.15452884082710086,0.15452884082710086,0.15452884082710086,2018-01-06,2018-06-30
111,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.15745203883127387,0.15745203883127387,0.15745203883127387,0.15745203883127387,0.15745203883127387,0.15745203883127387,2018-01-07,2018-07-31
112,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1669946720791449,0.1669946720791449,0.1669946720791449,0.1669946720791449,0.1669946720791449,0.1669946720791449,2018-01-08,2018-08-31
113,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.17244287486315285,0.17244287486315285,0.17244287486315285,0.17244287486315285,0.17244287486315285,0.17244287486315285,2018-01-09,2018-09-30
114,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.16552613916096418,0.16552613916096418,0.16552613916096418,0.16552613916096418,0.16552613916096418,0.16552613916096418,2018-01-10,2018-10-31
115,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.163889374650377,0.163889374650377,0.163889374650377,0.163889374650377,0.163889374650377,0.163889374650377,2018-01-11,2018-11-30
116,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.16495580096111853,0.16495580096111853,0.16495580096111853,0.16495580096111853,0.16495580096111853,0.16495580096111853,2018-01-12,2018-12-31
117,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.16335996777274092,0.16335996777274092,0.16335996777274092,0.16335996777274092,0.16335996777274092,0.16335996777274092,2019-01-01,2019-01-31
118,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.15207553721254122,0.15207553721254122,0.15207553721254122,0.15207553721254122,0.15207553721254122,0.15207553721254122,2019-01-02,2019-02-28
119,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.14563239123564578,0.14563239123564578,0.14563239123564578,0.14563239123564578,0.14563239123564578,0.14563239123564578,2019-01-03,2019-03-31
120,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.14623359471166167,0.14623359471166167,0.14623359471166167,0.14623359471166167,0.14623359471166167,0.14623359471166167,2019-01-04,2019-04-30
121,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1419227761349922,0.1419227761349922,0.1419227761349922,0.1419227761349922,0.1419227761349922,0.1419227761349922,2019-01-05,2019-05-31
122,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1396938390414063,0.1396938390414063,0.1396938390414063,0.1396938390414063,0.1396938390414063,0.1396938390414063,2019-01-06,2019-06-30
123,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.14590924221947427,0.14590924221947427,0.14590924221947427,0.14590924221947427,0.14590924221947427,0.14590924221947427,2019-01-07,2019-07-31
124,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.13974073632178735,0.13974073632178735,0.13974073632178735,0.13974073632178735,0.13974073632178735,0.13974073632178735,2019-01-08,2019-08-31
125,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.13540132313159559,0.13540132313159559,0.13540132313159559,0.13540132313159559,0.13540132313159559,0.13540132313159559,2019-01-09,2019-09-30
126,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1422107781835989,0.1422107781835989,0.1422107781835989,0.1422107781835989,0.1422107781835989,0.1422107781835989,2019-01-10,2019-10-31
127,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1398506490316667,0.1398506490316667,0.1398506490316667,0.1398506490316667,0.1398506490316667,0.1398506490316667,2019-01-11,2019-11-30
128,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1321776575812602,0.1321776575812602,0.1321776575812602,0.1321776575812602,0.1321776575812602,0.1321776575812602,2019-01-12,2019-12-31
129,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.13811084304319465,0.13811084304319465,0.13811084304319465,0.13811084304319465,0.13811084304319465,0.13811084304319465,2020-01-01,2020-01-31
130,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12959486120926844,0.12959486120926844,0.12959486120926844,0.12959486120926844,0.12959486120926844,0.12959486120926844,2020-01-02,2020-02-28
131,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12102335879686194,0.12102335879686194,0.12102335879686194,0.12102335879686194,0.12102335879686194,0.12102335879686194,2020-01-03,2020-03-31
132,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.10939146242836624,0.10939146242836624,0.10939146242836624,0.10939146242836624,0.10939146242836624,0.10939146242836624,2020-01-04,2020-04-30
133,Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.11103768416223955,0.11103768416223955,0.11103768416223955,0.11103768416223955,0.11103768416223955,0.11103768416223955,2020-01-05,2020-05-31
