Comercializadora,Tarifa,Precio_Potencia_P1,Precio_Potencia_P2,Precio_Potencia_P3,Precio_Potencia_P4,Precio_Potencia_P5,Precio_Potencia_P6,Precio_Energía_P1,Precio_Energía_P2,Precio_Energía_P3,Precio_Energía_P4,Precio_Energía_P5,Precio_Energía_P6,Fecha_Inicio,Fecha_Finalizacion
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.1006498,0.1006498,0.1006498,0.1006498,0.1006498,0.1006498,2020-08-05,2020-10-05 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.1322384,0.1322384,0.1322384,0.1322384,0.1322384,0.1322384,2020-08-05,2020-10-05 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1261674,0.1261674,0.1261674,0.1261674,0.1261674,0.1261674,2020-08-05,2020-10-05 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.1447944,0.1447944,0.1447944,0.1447944,0.1447944,0.1447944,2020-08-05,2020-10-05 00:00:00
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.0927276,0.0927276,0.0927276,0.0927276,0.0927276,0.0927276,2020-08-05,2020-10-05 00:00:00
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.0813073,0.0813073,0.0813073,0.0813073,0.0813073,0.0813073,2020-08-05,2020-10-05 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.11125366319607964,0.11125366319607964,0.11125366319607964,0.11125366319607964,0.11125366319607964,0.11125366319607964,2020-07-06,2020-08-05 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.13053093969794022,0.13053093969794022,0.13053093969794022,0.13053093969794022,0.13053093969794022,0.13053093969794022,2020-07-06,2020-08-05 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.12458666319607963,0.12458666319607963,0.12458666319607963,0.12458666319607963,0.12458666319607963,0.12458666319607963,2020-07-06,2020-08-05 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.14308693969794017,0.14308693969794017,0.14308693969794017,0.14308693969794017,0.14308693969794017,0.14308693969794017,2020-07-06,2020-08-05 00:00:00
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.09225987065699474,0.09225987065699474,0.09225987065699474,0.09225987065699474,0.09225987065699474,0.09225987065699474,2020-07-06,2020-08-05 00:00:00
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.07922228450712872,0.07922228450712872,0.07922228450712872,0.07922228450712872,0.07922228450712872,0.07922228450712872,2020-07-06,2020-08-05 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.10642213961440418,0.10642213961440418,0.10642213961440418,0.10642213961440418,0.10642213961440418,0.10642213961440418,2020-06-11,2020-07-06 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.1255614603793544,0.1255614603793544,0.1255614603793544,0.1255614603793544,0.1255614603793544,0.1255614603793544,2020-06-11,2020-07-06 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.11975513961440416,0.11975513961440416,0.11975513961440416,0.11975513961440416,0.11975513961440416,0.11975513961440416,2020-06-11,2020-07-06 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.13811746037935435,0.13811746037935435,0.13811746037935435,0.13811746037935435,0.13811746037935435,0.13811746037935435,2020-06-11,2020-07-06 00:00:00
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.08712110964991321,0.08712110964991321,0.08712110964991321,0.08712110964991321,0.08712110964991321,0.08712110964991321,2020-06-11,2020-07-06 00:00:00
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.0746552427367024,0.0746552427367024,0.0746552427367024,0.0746552427367024,0.0746552427367024,0.0746552427367024,2020-06-11,2020-07-06 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.107768,0.107768,0.107768,0.107768,0.107768,0.107768,2020-05-01,2020-06-11 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.126851,0.126851,0.126851,0.126851,0.126851,0.126851,2020-05-01,2020-06-11 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.121101,0.121101,0.121101,0.121101,0.121101,0.121101,2020-05-01,2020-06-11 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.139407,0.139407,0.139407,0.139407,0.139407,0.139407,2020-05-01,2020-06-11 00:00:00
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.088568,0.088568,0.088568,0.088568,0.088568,0.088568,2020-05-01,2020-06-11 00:00:00
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.076261,0.076261,0.076261,0.076261,0.076261,0.076261,2020-05-01,2020-06-11 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.103271,0.103271,0.103271,0.103271,0.103271,0.103271,2020-04-01,2020-05-01 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.12223300000000001,0.12223300000000001,0.12223300000000001,0.12223300000000001,0.12223300000000001,0.12223300000000001,2020-04-01,2020-05-01 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.116604,0.116604,0.116604,0.116604,0.116604,0.116604,2020-04-01,2020-05-01 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.134779,0.134779,0.134779,0.134779,0.134779,0.134779,2020-04-01,2020-05-01 00:00:00
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.08356100000000001,0.08356100000000001,0.08356100000000001,0.08356100000000001,0.08356100000000001,0.08356100000000001,2020-04-01,2020-05-01 00:00:00
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.07141800000000001,0.07141800000000001,0.07141800000000001,0.07141800000000001,0.07141800000000001,0.07141800000000001,2020-04-01,2020-05-01 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.111208,0.111208,0.111208,0.111208,0.111208,0.111208,2020-03-01,2020-04-01 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.130228,0.130228,0.130228,0.130228,0.130228,0.130228,2020-03-01,2020-04-01 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.124541,0.124541,0.124541,0.124541,0.124541,0.124541,2020-03-01,2020-04-01 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.142784,0.142784,0.142784,0.142784,0.142784,0.142784,2020-03-01,2020-04-01 00:00:00
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.091881,0.091881,0.091881,0.091881,0.091881,0.091881,2020-03-01,2020-04-01 00:00:00
Opcion,3.1. A,0.059173468,0.03649068900000001,0.008367731,0.059173468,0.03649068900000001,0.008367731,0.078566,0.078566,0.078566,0.078566,0.078566,0.078566,2020-03-01,2020-04-01 00:00:00
Opcion,2.0. A,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.112548,0.112548,0.112548,0.112548,0.112548,0.112548,2020-02-01,2020-03-01 00:00:00
Opcion,2.0. DHA,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.038043426,0.131609,0.131609,0.131609,0.131609,0.131609,0.131609,2020-02-01,2020-03-01 00:00:00
Opcion,2.1. A,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.125881,0.125881,0.125881,0.125881,0.125881,0.125881,2020-02-01,2020-03-01 00:00:00
Opcion,2.1. DHA,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.04444471,0.144165,0.144165,0.144165,0.144165,0.144165,0.144165,2020-02-01,2020-03-01 00:00:00
Opcion,3.0. A,0.040728885,0.02443733,0.016291555,0.040728885,0.02443733,0.016291555,0.093254,0.093254,0.093254,0.093254,0.093254,0.093254,2020-02-01,2020-03-01 00:00:00
